code,name,exchange,symbol
000012,南  玻A,深圳证券交易所,000012.SZ
000028,国药一致,深圳证券交易所,000028.SZ
000029,深深房A,深圳证券交易所,000029.SZ
000030,富奥股份,深圳证券交易所,000030.SZ
000035,中国天楹,深圳证券交易所,000035.SZ
000048,京基智农,深圳证券交易所,000048.SZ
000049,德赛电池,深圳证券交易所,000049.SZ
000058,深赛格,深圳证券交易所,000058.SZ
000059,华锦股份,深圳证券交易所,000059.SZ
000061,农 产 品,深圳证券交易所,000061.SZ
000065,北方国际,深圳证券交易所,000065.SZ
000089,深圳机场,深圳证券交易所,000089.SZ
000099,中信海直,深圳证券交易所,000099.SZ
000156,华数传媒,深圳证券交易所,000156.SZ
000403,派林生物,深圳证券交易所,000403.SZ
000420,吉林化纤,深圳证券交易所,000420.SZ
000422,湖北宜化,深圳证券交易所,000422.SZ
000498,山东路桥,深圳证券交易所,000498.SZ
000503,国新健康,深圳证券交易所,000503.SZ
000506,招金黄金,深圳证券交易所,000506.SZ
000534,万泽股份,深圳证券交易所,000534.SZ
000543,皖能电力,深圳证券交易所,000543.SZ
000550,江铃汽车,深圳证券交易所,000550.SZ
000552,甘肃能化,深圳证券交易所,000552.SZ
000555,神州信息,深圳证券交易所,000555.SZ
000563,陕国投A,深圳证券交易所,000563.SZ
000567,海德股份,深圳证券交易所,000567.SZ
000581,威孚高科,深圳证券交易所,000581.SZ
000600,建投能源,深圳证券交易所,000600.SZ
000603,盛达资源,深圳证券交易所,000603.SZ
000612,焦作万方,深圳证券交易所,000612.SZ
000620,盈新发展,深圳证券交易所,000620.SZ
000628,高新发展,深圳证券交易所,000628.SZ
000636,风华高科,深圳证券交易所,000636.SZ
000650,仁和药业,深圳证券交易所,000650.SZ
000672,上峰材料,深圳证券交易所,000672.SZ
000676,智度股份,深圳证券交易所,000676.SZ
000680,山推股份,深圳证券交易所,000680.SZ
000681,视觉中国,深圳证券交易所,000681.SZ
000682,东方电子,深圳证券交易所,000682.SZ
000685,中山公用,深圳证券交易所,000685.SZ
000686,东北证券,深圳证券交易所,000686.SZ
000688,国城矿业,深圳证券交易所,000688.SZ
000690,宝新能源,深圳证券交易所,000690.SZ
000712,锦龙股份,深圳证券交易所,000712.SZ
000719,中原传媒,深圳证券交易所,000719.SZ
000727,冠捷科技,深圳证券交易所,000727.SZ
000758,中色股份,深圳证券交易所,000758.SZ
000762,西藏矿业,深圳证券交易所,000762.SZ
000766,通化金马,深圳证券交易所,000766.SZ
000767,晋控电力,深圳证券交易所,000767.SZ
000778,新兴铸管,深圳证券交易所,000778.SZ
000791,甘肃能源,深圳证券交易所,000791.SZ
000795,英洛华,深圳证券交易所,000795.SZ
000801,四川九洲,深圳证券交易所,000801.SZ
000810,创维数字,深圳证券交易所,000810.SZ
000811,冰轮环境,深圳证券交易所,000811.SZ
000813,德展健康,深圳证券交易所,000813.SZ
000828,东莞控股,深圳证券交易所,000828.SZ
000829,天音控股,深圳证券交易所,000829.SZ
000833,粤桂股份,深圳证券交易所,000833.SZ
000837,秦川机床,深圳证券交易所,000837.SZ
000848,承德露露,深圳证券交易所,000848.SZ
000860,顺鑫农业,深圳证券交易所,000860.SZ
000875,电投绿能,深圳证券交易所,000875.SZ
000880,潍柴重机,深圳证券交易所,000880.SZ
000885,城发环境,深圳证券交易所,000885.SZ
000899,赣能股份,深圳证券交易所,000899.SZ
000901,航天科技,深圳证券交易所,000901.SZ
000902,新洋丰,深圳证券交易所,000902.SZ
000913,钱江摩托,深圳证券交易所,000913.SZ
000917,电广传媒,深圳证券交易所,000917.SZ
000923,河钢资源,深圳证券交易所,000923.SZ
000927,中国铁物,深圳证券交易所,000927.SZ
000928,中钢国际,深圳证券交易所,000928.SZ
000930,中粮科技,深圳证券交易所,000930.SZ
000935,四川双马,深圳证券交易所,000935.SZ
000950,重药控股,深圳证券交易所,000950.SZ
000962,东方钽业,深圳证券交易所,000962.SZ
000966,长源电力,深圳证券交易所,000966.SZ
000969,安泰科技,深圳证券交易所,000969.SZ
000970,中科三环,深圳证券交易所,000970.SZ
000973,佛塑科技,深圳证券交易所,000973.SZ
000990,诚志股份,深圳证券交易所,000990.SZ
000998,隆平高科,深圳证券交易所,000998.SZ
