type,n,car3_mean,car3_med,car3_win,car20_mean,car20_med,car20_win
不确定,151,-0.0014031327706528587,-0.006983398790243456,0.40397350993377484,0.02688370077910329,-0.002002775807205537,0.4900662251655629
扭亏,2049,0.02752930246509684,0.004955502887927121,0.572962420693021,0.014577532254521745,-0.007906731271188794,0.4646168862859932
增亏,1183,-0.015551647155957424,-0.0164397219321204,0.32121724429416737,0.009632591492105632,-0.009071301439691704,0.463229078613694
减亏,1245,0.010710004227245926,-0.007288832339284457,0.40562248995983935,0.009541357940962383,-0.015543144355121608,0.43373493975903615
预增,6833,0.018872367902063907,0.011281855208701508,0.6243231377140348,0.0071027281130127354,-0.00861554001639464,0.45968096004683157
首亏,2108,-0.013400484734086563,-0.01560074866202421,0.3230550284629981,0.007081149221042867,-0.010222189552563377,0.4497153700189753
略增,2487,0.006376600053137964,0.003339681977631015,0.5464414957780458,0.006579386834500163,-0.006155210241466702,0.4732609569762766
续亏,352,-0.0013919709163087456,-0.010854973735837214,0.36363636363636365,0.004958393742634886,-0.007807274110194218,0.4602272727272727
略减,987,-0.010982380488329398,-0.010171254016419384,0.3606889564336373,0.0021184926246344132,-0.0069952999463761545,0.4630192502532928
预减,2395,-0.011630573294626346,-0.010190406309534827,0.35323590814196243,0.0017072326117944516,-0.010485844848017845,0.4334029227557411
续盈,513,-0.0051064154184802665,-0.006425116650575768,0.37816764132553604,0.001640195335714362,-0.008644004922521487,0.4600389863547758
