year,不确定,减亏,增亏,扭亏,略减,略增,续亏,续盈,预减,预增,首亏
2016,0.077,0.025,0.028,0.037,0.014,-0.002,0.041,-0.002,0.018,0.011,0.017
2017,0.051,-0.041,-0.008,0.004,-0.012,0.01,0.009,-0.003,-0.019,0.015,-0.036
2018,0.011,0.034,-0.004,0.009,-0.004,0.007,-0.036,0.002,-0.008,0.005,0.005
2019,-0.036,0.025,-0.001,0.014,0.006,0.004,-0.025,0.023,-0.003,-0.001,0.021
2020,0.032,-0.001,0.024,0.023,0.007,0.019,-0.007,-0.029,-0.01,0.004,-0.009
2021,-0.011,0.004,0.014,0.015,-0.008,0.029,-0.016,0.041,0.026,0.004,0.049
2022,0.019,0.004,-0.017,0.046,0.011,-0.002,-0.005,0.048,0.008,0.008,-0.004
2023,0.578,0.023,0.024,0.007,0.012,0.006,0.038,0.006,0.016,0.0,0.017
2024,-0.015,-0.014,0.008,-0.008,0.005,-0.003,0.0,-0.016,-0.004,-0.005,-0.018
2025,-0.029,0.008,-0.012,-0.011,0.024,-0.004,0.006,-0.065,-0.014,0.0,0.014
2026,0.037,0.034,0.03,0.032,-0.006,0.01,0.031,0.026,0.032,0.037,0.025
